gender,ethnicity,age_category,year_assessment,height,weight,bmi
Boy,Dutch,7-10 years,1999,124,24,15.608741
Girl,Dutch,7-10 years,1999,131,25,14.567916
Boy,Dutch,7-10 years,1999,128,22,13.427734
Girl,Dutch,7-10 years,1999,121,20,13.660269
Girl,Dutch,7-10 years,1999,129,31,18.628688
Girl,Dutch,7-10 years,1999,131,25,14.567916
Boy,Dutch,7-10 years,1999,130,26,15.384615
Boy,Dutch,7-10 years,1999,131,26,15.150632
Girl,Dutch,7-10 years,1999,120,21,14.583333
Boy,Dutch,7-10 years,1999,136,31,16.760381
Girl,Dutch,7-10 years,1999,135,26.5,14.540466
Boy,Dutch,7-10 years,1999,132,25,14.348026
Boy,Dutch,7-10 years,1999,123,22.5,14.8721
Girl,Dutch,7-10 years,1999,126,26,16.376921
Girl,Dutch,7-10 years,1999,126,24,15.117158
Girl,Dutch,7-10 years,1999,111,22,17.855694
Boy,Dutch,7-10 years,1999,123,30,19.829467
Boy,Dutch,7-10 years,1999,125,25,16
Boy,Dutch,7-10 years,1999,127,22,13.640027
Girl,Dutch,7-10 years,1999,132,29,16.64371
Boy,Dutch,7-10 years,1999,125,24.7,15808
Boy,Dutch,3-6 years,1999,122,21.9,14.713787
Boy,Dutch,3-6 years,1999,117,21,15.340785
Boy,Dutch,3-6 years,1999,122,23,15.452835
Girl,Dutch,3-6 years,1999,117,21,15.340785
Girl,Maroccan,3-6 years,1999,120,25,17.361111
Girl,Dutch,3-6 years,1999,116,17,12.633769
Girl,Dutch,3-6 years,1999,120,22.5,15625
Boy,Dutch,3-6 years,1999,117,20,14.610271
Girl,Dutch,3-6 years,1999,114,22,16.928286
Girl,Dutch,3-6 years,1999,119,21,14.829461
Girl,Dutch,3-6 years,1999,114,18,13.850416
Girl,Dutch,3-6 years,1999,124,27,17.559834
Boy,Dutch,3-6 years,1999,120,25,17.361111
Boy,Dutch,3-6 years,1999,116,20,14.863258
Girl,Dutch,3-6 years,1999,119,23.5,16.594873
Girl,Turkish,3-6 years,1999,121,24,16.392323
Boy,Dutch,3-6 years,1999,122,20.5,13.773179
Girl,Dutch,3-6 years,1999,119,22.5,15.888708
Girl,Dutch,3-6 years,1999,118,22.5,16.15915
Girl,Dutch,3-6 years,1999,112,18,14.34949
Girl,Dutch,3-6 years,1999,112,18,14.34949
Boy,Dutch,3-6 years,1999,112,20,15.943878
Girl,Dutch,3-6 years,1999,120,23,15.972222
Girl,Dutch,3-6 years,1999,113,21,16.44608
Girl,Dutch,3-6 years,1999,113,21,16.44608
Boy,Dutch,3-6 years,1999,122,21,14.10911
Boy,Dutch,3-6 years,1999,118,28.5,20.468256
Girl,Dutch,3-6 years,1999,120,23,15.972222
Girl,Dutch,3-6 years,1999,116,22,16.349584
Boy,Maroccan,3-6 years,1999,114,20,15.389351
Girl,Dutch,3-6 years,1999,112,19,15.146684
Boy,Dutch,3-6 years,1999,133,24.5,13.850416
Girl,Dutch,3-6 years,1999,116,22,16.349584
Girl,Dutch,3-6 years,1999,119,22,15.535626
Girl,Dutch,3-6 years,1999,113,24,18.79552
Girl,Dutch,3-6 years,1999,113,17.5,13.705067
Boy,Dutch,3-6 years,1999,119,20,14.123296
Girl,Dutch,3-6 years,1999,114,20.5,15.774084
Girl,Dutch,3-6 years,1999,109,18,15.15024
Boy,Dutch,3-6 years,1999,119,22,15.535626
Boy,Dutch,3-6 years,1999,121,21,14.343283
Boy,Dutch,3-6 years,1999,117,22,16.071298
Girl,Dutch,3-6 years,1999,112,17.5,13.950893
Boy,Dutch,3-6 years,1999,123,21,13.880627
Girl,Dutch,3-6 years,1999,115,20,15.122873
Boy,Dutch,3-6 years,1999,117,22,16.071298
Boy,Dutch,3-6 years,1999,111,17,13.797581
Girl,Dutch,3-6 years,1999,116,19.5,14.491677
Boy,Dutch,3-6 years,1999,121,23,15.709309
Boy,Dutch,3-6 years,1999,110,18,14.876033
Girl,Dutch,3-6 years,1999,118,25,17.954611
Boy,Dutch,3-6 years,1999,112,18,14.34949
Girl,Dutch,3-6 years,1999,108,19,16.289438
Girl,Dutch,3-6 years,1999,114,17.5,13.465682
Girl,Dutch,3-6 years,1999,102,17.2,16.532103
Boy,Dutch,3-6 years,1999,105,16.6,15.056689
Girl,Dutch,3-6 years,1999,116,18,13.376932
Girl,Dutch,3-6 years,1999,99,13.8,14.080196
Girl,Turkish,3-6 years,1999,108,16.6,14.231824
Girl,Dutch,3-6 years,1999,105,17.6,15.963719
Girl,Dutch,3-6 years,1999,105,16.7,15.147392
Girl,Dutch,3-6 years,1999,110,18.5,15.289256
Boy,Dutch,3-6 years,1999,104,19.5,18.028846
Girl,Dutch,3-6 years,1999,104,17,15.717456
Boy,Dutch,3-6 years,1999,107,18.3,15.983929
Boy,Dutch,3-6 years,1999,100,16.6,16.6
Girl,Dutch,3-6 years,1999,102,16.4,15.763168
Girl,Dutch,3-6 years,1999,110,18.1,14.958678
Boy,Dutch,3-6 years,1999,101,16.7,16.370944
Girl,Dutch,3-6 years,1999,102,16.3,15.667051
Boy,Dutch,3-6 years,1999,105,15.4,13.968254
Boy,Dutch,3-6 years,1999,104,17.5,16.179734
Boy,Dutch,3-6 years,1999,110,22.2,18.347107
Boy,Dutch,3-6 years,1999,110,18.9,15.619835
Boy,Dutch,3-6 years,1999,107,18.1,15.809241
Boy,Dutch,3-6 years,1999,105,18.7,16.961451
Girl,Dutch,3-6 years,1999,105,17,15.419501
Girl,Dutch,3-6 years,1999,100,16.6,16.6
Boy,Dutch,3-6 years,1999,104,16.7,15.440089
Girl,Dutch,3-6 years,1999,105,19.1,17.324263
Boy,Dutch,3-6 years,1999,104,15.5,14.330621
Girl,Dutch,3-6 years,1999,105,16.5,14.965986
Girl,Dutch,3-6 years,1999,101,16.2,15.880796
Girl,Dutch,3-6 years,1999,101,15.1,14.80247
Girl,Dutch,3-6 years,1999,108,20.1,17.23251
Boy,Dutch,3-6 years,1999,103,18.5,17.438024
Boy,Dutch,3-6 years,1999,108,19.9,17.061043
Boy,Dutch,3-6 years,1999,110,20.3,16.77686
Girl,Dutch,3-6 years,1999,105,17,15.419501
Girl,Dutch,3-6 years,1999,105,16.2,14.693878
Girl,Dutch,3-6 years,1999,108,18.2,15.603567
Boy,Dutch,3-6 years,1999,105,16.3,14.78458
Girl,Dutch,3-6 years,1999,98,14.5,15.097876
Girl,Dutch,3-6 years,1999,103,18.8,17.720803
Girl,Dutch,3-6 years,1999,114,19.7,15.15851
Boy,Dutch,3-6 years,1999,108,20,17.146776
Boy,Turkish,3-6 years,1999,104,17.2,15.902367
Boy,Dutch,3-6 years,1999,102,14.8,14.225298
Girl,Dutch,3-6 years,1999,100,15.1,15.1
Boy,Turkish,3-6 years,1999,106,16.3,14.506942
Boy,Dutch,3-6 years,1999,131,27.5,16.024707
Girl,Dutch,3-6 years,1999,119,21,14.829461
Girl,Turkish,3-6 years,1999,100,15,15
Boy,Maroccan,3-6 years,1999,105,16.4,14.875283
Boy,Turkish,3-6 years,1999,109,17.4,14.645232
Girl,Turkish,3-6 years,1999,107,17.2,15.023146
Boy,Maroccan,3-6 years,1999,105,19.2,17.414966
Boy,Surinamese South Asian,3-6 years,1999,107,21.5,18.778933
Girl,Maroccan,3-6 years,1999,114,24.5,18.851954
Boy,Maroccan,3-6 years,1999,100,14.3,14.3
Boy,Dutch,7-10 years,1999,144,34.5,16.637731
Boy,Dutch,7-10 years,1999,138,30.4,15.963033
Boy,Dutch,3-6 years,1999,121,23,15.709309
Boy,Dutch,3-6 years,1999,123,27.5,18.177011
Boy,Dutch,3-6 years,1999,119,21,14.829461
Boy,Dutch,3-6 years,1999,110,18,14.876033
Boy,Turkish,3-6 years,1999,113,21,16.44608
Boy,Dutch,3-6 years,1999,112,21,16.741071
Girl,Dutch,3-6 years,1999,116,23.4,17.390012
Boy,Dutch,3-6 years,1999,103,17.8,16.778207
Boy,Dutch,3-6 years,1999,104,19.1,17.659024
Boy,Dutch,3-6 years,1999,105,17.5,15.873016
Boy,Surinamese South Asian,3-6 years,1999,112,17.5,13.950893
Girl,Dutch,3-6 years,1999,111,19,15.420826
Boy,Turkish,7-10 years,1999,127,25,15.500031
Boy,Turkish,3-6 years,1999,118,27,19.39098
Boy,Surinamese South Asian,3-6 years,1999,113,20,15.662934
Boy,Dutch,7-10 years,1999,145,42,19.976219
Boy,Dutch,7-10 years,1999,122,29,19.48401
Girl,Dutch,7-10 years,1999,134,36.5,20.327467
Girl,Dutch,7-10 years,1999,130,23.5,13.905325
Boy,Maroccan,7-10 years,1999,129,30,18.027763
Boy,Dutch,7-10 years,1999,122,26,17.468422
Boy,Dutch,7-10 years,1999,125,20,12.8
Boy,Dutch,7-10 years,1999,131,24,13.985199
Boy,Surinamese South Asian,3-6 years,1999,117,18.5,13.514501
Girl,Dutch,3-6 years,1999,125,24,15.36
Boy,Dutch,3-6 years,1999,114,18,13.850416
Boy,Dutch,3-6 years,1999,117,20.5,14.975528
Boy,Dutch,3-6 years,1999,118,24.5,17.595519
Boy,Dutch,3-6 years,1999,121,20,13.660269
Girl,Dutch,3-6 years,1999,111,20,16.232449
Boy,Dutch,3-6 years,1999,126,27.5,17.321744
Boy,Turkish,3-6 years,1999,120,23.5,16.319444
Boy,Dutch,3-6 years,1999,116,23,17.092747
Boy,Surinamese South Asian,3-6 years,1999,108,21.6,18.518519
Boy,Dutch,3-6 years,1999,103,17.4,16.401169
Boy,Maroccan,3-6 years,1999,111,20.9,16.962909
Boy,Dutch,3-6 years,1999,105,19,17.23356
Boy,Dutch,7-10 years,1999,131,42,24.474098
Boy,Dutch,7-10 years,1999,137,30,15.983803
Boy,Dutch,7-10 years,1999,134,30,16.707507
Girl,Dutch,7-10 years,1999,133,32,18.090339
Boy,Surinamese South Asian,7-10 years,1999,128,27.5,16.784668
Girl,Dutch,7-10 years,1999,132,28,16.069789
Girl,Maroccan,7-10 years,1999,127,22,13.640027
Boy,Dutch,3-6 years,1999,115,21.5,16.257089
Boy,Turkish,3-6 years,1999,114,26,20.006156
Girl,Dutch,3-6 years,1999,117,19,13.879757
Girl,Turkish,3-6 years,1999,104,16,14.792899
Girl,Turkish,3-6 years,1999,102,14.5,13.936947
Girl,Maroccan,3-6 years,1999,113,20,15.662934
Boy,Turkish,3-6 years,1999,105,16.5,14.965986
Girl,Maroccan,3-6 years,1999,106,18.6,16.553934
Girl,Maroccan,3-6 years,1999,105,16.6,15.056689
Boy,Turkish,3-6 years,1999,103,17.5,16.495428
Girl,Turkish,3-6 years,1999,104,18,16.642012
Boy,Maroccan,3-6 years,1999,100,15.5,15.5
Boy,Dutch,3-6 years,1999,102,20.6,19.800077
Boy,Turkish,3-6 years,1999,102,17.2,16.532103
Boy,Dutch,3-6 years,1999,104,19.2,17.751479
Boy,Dutch,3-6 years,1999,100,16.4,16.4
Girl,Dutch,3-6 years,1999,105,18.2,16.507937
Boy,Dutch,3-6 years,1999,101,15.2,14.9005
Boy,Dutch,3-6 years,1999,99,15.8,16.120804
Girl,Dutch,3-6 years,1999,98,16.5,17.180342
Boy,Dutch,3-6 years,1999,106,16.8,14.95194
Girl,Dutch,3-6 years,1999,102,18.3,17.589389
Girl,Dutch,3-6 years,1999,99,14.3,14.590348
Boy,Dutch,3-6 years,1999,100,15,15
Boy,Dutch,3-6 years,1999,107,20.1,17.556118
Girl,Dutch,3-6 years,1999,104,18.3,16.919379
Boy,Turkish,3-6 years,1999,94,13.5,15.278407
Boy,Turkish,3-6 years,1999,104,16.8,15.532544
Girl,Dutch,3-6 years,1999,102,14,13.456363
Girl,Dutch,3-6 years,1999,106,17.1,15.218939
Girl,Dutch,3-6 years,1999,97,17,18.067807
Girl,Dutch,3-6 years,1999,105,16.9,15.328798
Boy,Surinamese South Asian,3-6 years,1999,101,15.8,15.488678
Girl,Dutch,3-6 years,1999,97,14.7,15.623339
Girl,Dutch,3-6 years,1999,109,19.4,16.328592
Boy,Surinamese South Asian,3-6 years,1999,105,17.2,15.600907
Girl,Maroccan,3-6 years,1999,115,21.9,16.559546
Girl,Dutch,3-6 years,1999,104,17.2,15.902367
Girl,Maroccan,3-6 years,1999,100,14.7,14.7
Girl,Turkish,3-6 years,1999,106,19,16.909932
Girl,Dutch,3-6 years,1999,108,33.5,28.72085
Boy,Turkish,3-6 years,1999,106,17.3,15.396938
Boy,Turkish,3-6 years,1999,99,16.5,16.835017
Girl,Maroccan,3-6 years,1999,102,16.1,15.474817
Girl,Maroccan,3-6 years,1999,108,19.3,16.546639
Girl,Turkish,3-6 years,1999,109,19.3,16.244424
Girl,Turkish,3-6 years,1999,109,21,17.67528
Girl,Turkish,3-6 years,1999,107,21.2,18.516901
Girl,Turkish,3-6 years,1999,102,15.9,15.282584
Boy,Dutch,3-6 years,1999,107,21.9,19.128308
Girl,Maroccan,3-6 years,1999,99,17,17.345169
Girl,Turkish,3-6 years,1999,104,14.8,13.683432
Boy,Turkish,3-6 years,1999,102,17.5,16.820454
Girl,Maroccan,3-6 years,1999,98,14.1,14.681383
Boy,Maroccan,3-6 years,1999,106,18.2,16.197935
Girl,Maroccan,3-6 years,1999,102,18.8,18.069973
Girl,Maroccan,3-6 years,1999,100,14.3,14.3
Boy,Turkish,3-6 years,1999,112,25.5,20.328444
Girl,Turkish,3-6 years,1999,105,19,17.23356
Girl,Maroccan,3-6 years,1999,113,24,18.79552
Boy,Turkish,3-6 years,1999,114,17,13.080948
Girl,Turkish,3-6 years,1999,116,25,18.579073
Boy,Turkish,3-6 years,1999,104,17.5,16.179734
Boy,Maroccan,3-6 years,1999,103,19.9,18.757659
Girl,Turkish,3-6 years,1999,114,19.5,15.004617
Boy,Dutch,3-6 years,1999,103,17.9,16.872467
Boy,Maroccan,3-6 years,1999,104,18.9,17.474112
Girl,Turkish,3-6 years,1999,118,35,25.136455
Girl,Maroccan,3-6 years,1999,122,27,18.140285
Girl,Dutch,3-6 years,1999,113,21,16.44608
Girl,Turkish,3-6 years,1999,102,15.8,15.186467
Boy,Surinamese South Asian,3-6 years,1999,109,15.4,12.961872
Boy,Dutch,3-6 years,1999,102,16,15.3787
Boy,Turkish,3-6 years,1999,103,15.3,14.421717
Boy,Surinamese South Asian,3-6 years,1999,101,16.9,16.567003
Boy,Turkish,3-6 years,1999,114,22.3,17.159126
Girl,Turkish,3-6 years,1999,101,15.9,15.586707
Boy,Turkish,3-6 years,1999,104,21.3,19.693047
Girl,Maroccan,3-6 years,1999,96,16.3,17.686632
Boy,Turkish,3-6 years,1999,104,19.4,17.936391
Boy,Dutch,3-6 years,1999,102,13.3,12.783545
Boy,Maroccan,3-6 years,1999,103,18,16.966726
Boy,Dutch,3-6 years,1999,113,19.6,15.349675
Boy,Turkish,3-6 years,1999,100,14.6,14.6
Boy,Dutch,3-6 years,1999,111,20.1,16.313611
Boy,Turkish,3-6 years,1999,102,18,17.301038
Boy,Surinamese South Asian,3-6 years,1999,111,21.7,17.612207
Boy,Surinamese South Asian,3-6 years,1999,109,19.3,16.244424
Girl,Dutch,3-6 years,1999,107,18.5,16.158616
Boy,Maroccan,3-6 years,1999,93,12.8,14.799399
Boy,Maroccan,3-6 years,1999,112,22.4,17.857143
Girl,Dutch,3-6 years,1999,96,14,15.190972
Girl,Dutch,3-6 years,1999,110,16.4,13.553719
Boy,Turkish,3-6 years,1999,95,14.1,15.623269
Boy,Dutch,3-6 years,1999,103,15.5,14.610237
Girl,Dutch,3-6 years,1999,102,17.3,16.62822
Boy,Dutch,3-6 years,1999,110,18,14.876033
Boy,Dutch,3-6 years,1999,109,18.6,15.655248
Boy,Dutch,3-6 years,1999,102,16.4,15.763168
Girl,Dutch,3-6 years,1999,104,16.9,15625
Boy,Dutch,3-6 years,1999,108,19.5,16.718107
Girl,Dutch,3-6 years,1999,101,16.8,16.468974
Girl,Dutch,3-6 years,1999,105,19,17.23356
Girl,Dutch,3-6 years,1999,99,18.3,18.671564
Boy,Dutch,3-6 years,1999,107,16.7,14.586427
Girl,Surinamese South Asian,7-10 years,1999,153,44,18.796189
Boy,Surinamese South Asian,7-10 years,1999,140,26,13.265306
Girl,Dutch,7-10 years,1999,141,38,19.113727
Boy,Turkish,7-10 years,1999,132,35,20.087236
Girl,Maroccan,7-10 years,1999,145,68,32.342449
Girl,Dutch,7-10 years,1999,134,34.5,19.213633
Girl,Dutch,7-10 years,1999,141,32,16.09577
Girl,Maroccan,7-10 years,1999,133,27,15.263723
Boy,Dutch,7-10 years,1999,142,47,23.308867
Boy,Maroccan,7-10 years,1999,140,32,16.326531
Boy,Turkish,7-10 years,1999,126,27,17.006803
Girl,Dutch,7-10 years,1999,135,28,15.363512
Boy,Maroccan,7-10 years,1999,129,25,15.023136
Boy,Surinamese South Asian,7-10 years,1999,130,26,15.384615
Girl,Maroccan,7-10 years,1999,136,43,23.24827
Boy,Turkish,7-10 years,1999,143,37,18.093794
Boy,Maroccan,7-10 years,1999,131,25,14.567916
Boy,Maroccan,7-10 years,1999,134,36,20.049009
Boy,Dutch,7-10 years,1999,132,25,14.348026
Boy,Maroccan,7-10 years,1999,131,26.5,15.441991
Girl,Turkish,7-10 years,1999,129,34,20.431464
Girl,Turkish,7-10 years,1999,139,37,19.150148
Girl,Maroccan,7-10 years,1999,129,30,18.027763
Boy,Turkish,7-10 years,1999,139,41,21.220434
Boy,Turkish,7-10 years,1999,128,28.5,17.39502
Girl,Dutch,7-10 years,1999,126,22,13.857395
Boy,Turkish,7-10 years,1999,138,37,19.428691
Boy,Dutch,7-10 years,1999,137,47,25.041291
Girl,Turkish,7-10 years,1999,134,37,20.605926
Girl,Turkish,7-10 years,1999,132,45,25.826446
Boy,Surinamese South Asian,7-10 years,1999,136,38,20.544983
Boy,Maroccan,7-10 years,1999,120,21,14.583333
Boy,Surinamese South Asian,7-10 years,1999,131,30,17.481499
Boy,Turkish,7-10 years,1999,132,30,17.217631
Girl,Dutch,7-10 years,1999,132,26,14.921947
Boy,Dutch,7-10 years,1999,125,23,14.72
Boy,Maroccan,7-10 years,1999,127,24,14.88003
Boy,Dutch,7-10 years,1999,126,37.5,23.620559
Boy,Dutch,7-10 years,1999,134,26.5,14.758298
Boy,Surinamese South Asian,7-10 years,1999,124,18,11.706556
Boy,Turkish,7-10 years,1999,127,29,17.980036
Girl,Turkish,7-10 years,1999,136,48,25.951557
Girl,Turkish,7-10 years,1999,136,33,17.841696
Boy,Dutch,7-10 years,1999,142,41,20.333267
Boy,Dutch,7-10 years,1999,120,21,14.583333
Boy,Dutch,7-10 years,1999,132,24,13.774105
Boy,Dutch,7-10 years,1999,132,27,15.495868
Boy,Dutch,7-10 years,1999,145,30,14.268728
Boy,Dutch,7-10 years,1999,122,21.5,14.445042
Boy,Maroccan,7-10 years,1999,135,31,17.009602
Girl,Surinamese South Asian,7-10 years,1999,129,23,13.821285
Boy,Surinamese South Asian,7-10 years,1999,130,24,14.201183
Girl,Dutch,7-10 years,1999,139,48,24.843435
Girl,Turkish,7-10 years,1999,140,29,14.795918
Girl,Surinamese South Asian,7-10 years,1999,133,25.5,14.415739
Boy,Dutch,7-10 years,1999,139,36,18.632576
Boy,Dutch,7-10 years,1999,138,31.5,16.540643
Boy,Turkish,7-10 years,1999,129,28,16.825912
Boy,Dutch,7-10 years,1999,138,29,15.227893
Boy,Maroccan,7-10 years,1999,128,28,17.089844
Boy,Dutch,7-10 years,1999,135,28.5,15.63786
Boy,Dutch,7-10 years,1999,134,27.5,15.315215
Boy,Dutch,7-10 years,1999,123,25.5,16.855047
Boy,Dutch,7-10 years,1999,144,33.5,16.155478
Girl,Dutch,7-10 years,1999,139,30,15.527147
Boy,Dutch,7-10 years,1999,135,34,18.655693
Boy,Dutch,7-10 years,1999,136,26.5,14.327422
Girl,Dutch,7-10 years,1999,135,31,17.009602
Girl,Dutch,7-10 years,1999,127,27,16.740033
Boy,Surinamese South Asian,7-10 years,1999,118,22,15.800057
Boy,Surinamese South Asian,7-10 years,1999,123,23,15.202591
Boy,Surinamese South Asian,7-10 years,1999,136,27.5,14.86808
Boy,Dutch,7-10 years,1999,145,30,14.268728
Girl,Surinamese South Asian,7-10 years,1999,124,24,15.608741
Boy,Surinamese South Asian,7-10 years,1999,139,33,17.079861
Girl,Turkish,7-10 years,1999,120,20.5,14.236111
Girl,Dutch,7-10 years,1999,151,45,19.735976
Boy,Dutch,7-10 years,1999,144,35,16.878858
Girl,Dutch,7-10 years,1999,129,27.5,16.525449
Boy,Dutch,7-10 years,1999,133,33,18.655662
Girl,Turkish,7-10 years,1999,140,46,23.469388
Girl,Dutch,7-10 years,1999,128,30,18.310547
Boy,Turkish,7-10 years,1999,134,29,16.15059
Boy,Dutch,7-10 years,1999,134,30.5,16.985966
Girl,Dutch,7-10 years,1999,128,22,13.427734
Boy,Dutch,7-10 years,1999,132,32,18.365473
Girl,Turkish,7-10 years,1999,128,29,17.700195
Girl,Dutch,7-10 years,1999,127,27,16.740033
Girl,Dutch,7-10 years,1999,126,25,15.74704
Girl,Turkish,7-10 years,1999,137,29.5,15.717406
Boy,Dutch,7-10 years,1999,143,36.5,17.849284
Girl,Maroccan,7-10 years,1999,123,27,17.84652
Girl,Maroccan,7-10 years,1999,127,23.5,14.570029
Girl,Maroccan,7-10 years,1999,124,32.5,21.136837
Girl,Dutch,7-10 years,1999,125,24,15.36
Boy,Maroccan,7-10 years,1999,135,33,18.106996
Girl,Maroccan,7-10 years,1999,128,27,16.479492
Girl,Turkish,7-10 years,1999,125,25.5,16.32
Boy,Dutch,7-10 years,1999,130,32,18.934911
Girl,Surinamese South Asian,7-10 years,1999,116,16,11.890606
Girl,Surinamese South Asian,7-10 years,1999,141,37.5,18.86223
Girl,Surinamese South Asian,7-10 years,1999,136,26.5,14.327422
Boy,Maroccan,7-10 years,1999,124,22,14.308012
Boy,Dutch,7-10 years,1999,142,34,16.861734
Girl,Turkish,7-10 years,1999,123,25,16.524555
Girl,Dutch,7-10 years,1999,127,34,21.080042
Girl,Dutch,7-10 years,1999,139,34,17.597433
Boy,Dutch,7-10 years,1999,128,26.5,16.174316
Girl,Dutch,7-10 years,1999,113,18,14.09664
Boy,Dutch,7-10 years,1999,133,26,14.6984
Boy,Surinamese South Asian,7-10 years,1999,124,25.5,16.584287
Boy,Dutch,7-10 years,1999,131,25,14.567916
Girl,Dutch,7-10 years,1999,122,27,18.140285
Boy,Dutch,7-10 years,1999,131,26,15.150632
Girl,Surinamese South Asian,7-10 years,1999,133,31,17.525016
Girl,Turkish,7-10 years,1999,119,27,19.06645
Girl,Dutch,7-10 years,1999,131,30.5,17.772857
Girl,Dutch,7-10 years,1999,129,25.5,15.323598
Boy,Turkish,7-10 years,1999,130,32,18.934911
Girl,Dutch,7-10 years,1999,131,26,15.150632
Boy,Maroccan,7-10 years,1999,134,34,18.935175
Boy,Dutch,7-10 years,1999,141,55,27.664604
Girl,Turkish,7-10 years,1999,128,31,18.920898
Boy,Dutch,7-10 years,1999,128,25,15.258789
Girl,Dutch,7-10 years,1999,145,35,16.646849
Girl,Dutch,7-10 years,1999,130,31,18.343195
Boy,Dutch,7-10 years,1999,137,31,16.516597
Girl,Dutch,7-10 years,1999,131,35,20.395082
Girl,Dutch,7-10 years,1999,130,27,15.976331
Girl,Dutch,7-10 years,1999,131,33,19.229649
Girl,Maroccan,7-10 years,1999,131,26,15.150632
Girl,Dutch,7-10 years,1999,130,25,14.792899
Girl,Dutch,7-10 years,1999,134,34,18.935175
Boy,Dutch,7-10 years,1999,135,27,14.814815
Girl,Dutch,7-10 years,1999,128,25,15.258789
Girl,Dutch,7-10 years,1999,136,34,18.382353
Girl,Dutch,7-10 years,1999,126,23,14.487276
Boy,Dutch,7-10 years,1999,128,23,14.038086
Girl,Dutch,7-10 years,1999,131,32,18.646932
Boy,Maroccan,7-10 years,1999,122,24,16.124698
Girl,Maroccan,7-10 years,1999,128,30,18.310547
Boy,Turkish,7-10 years,1999,128,25,15.258789
Boy,Surinamese South Asian,7-10 years,1999,127,27,16.740033
Girl,Dutch,7-10 years,1999,132,32,18.365473
Boy,Maroccan,7-10 years,1999,122,22,14.780973
Boy,Dutch,7-10 years,1999,134,28,15.593673
Boy,Dutch,7-10 years,1999,129,27.5,16.525449
Girl,Turkish,7-10 years,1999,130,29,17.159763
Girl,Turkish,7-10 years,1999,134,32.5,18.0998
Girl,Turkish,7-10 years,1999,123,23.5,15.533082
Girl,Dutch,7-10 years,1999,125,26,16.64
Girl,Turkish,7-10 years,1999,123,27,17.84652
Boy,Surinamese South Asian,7-10 years,1999,125,26,16.64
Girl,Surinamese South Asian,7-10 years,1999,123,23,15.202591
Boy,Surinamese South Asian,7-10 years,1999,128,28,17.089844
Boy,Dutch,7-10 years,1999,129,32,19.229614
Girl,Dutch,7-10 years,1999,137,42,22.377324
Boy,Dutch,7-10 years,1999,137,27,14.385423
Boy,Dutch,7-10 years,1999,145,37,17.598098
Girl,Turkish,7-10 years,1999,128,26,15.869141
Girl,Dutch,7-10 years,1999,134,24.5,13.644464
Girl,Maroccan,7-10 years,1999,141,52.5,26.407122
Boy,Dutch,7-10 years,1999,116,20,14.863258
Girl,Surinamese South Asian,7-10 years,1999,131,37.5,21.851873
Boy,Surinamese South Asian,7-10 years,1999,127,24,14.88003
Boy,Turkish,7-10 years,1999,124,22,14.308012
Boy,Dutch,7-10 years,1999,137,36,19.180564
Girl,Dutch,7-10 years,1999,127,25.5,15.810032
Boy,Dutch,7-10 years,1999,125,31,19.84
Boy,Dutch,7-10 years,1999,132,28,16.069789
Girl,Maroccan,7-10 years,1999,125,30,19.2
Boy,Maroccan,7-10 years,1999,130,26,15.384615
Girl,Dutch,7-10 years,1999,138,27.5,14.440244
Girl,Turkish,7-10 years,1999,119,22,15.535626
Girl,Dutch,7-10 years,1999,138,35,18.378492
Girl,Surinamese South Asian,7-10 years,1999,131,31,18.064215
Boy,Dutch,7-10 years,1999,136,31.5,17.030709
Girl,Dutch,7-10 years,1999,138,46,24.154589
Boy,Dutch,7-10 years,1999,139,26,13.45686
Boy,Dutch,7-10 years,1999,136,38,20.544983
Girl,Dutch,7-10 years,1999,122,27,18.140285
Boy,Maroccan,7-10 years,1999,129,29,17.426837
Boy,Dutch,7-10 years,1999,138,40,21.003991
Boy,Dutch,7-10 years,1999,126,23.5,14.802217
Boy,Dutch,7-10 years,1999,120,25,17.361111
Boy,Dutch,7-10 years,1999,131,26,15.150632
Girl,Dutch,7-10 years,1999,128,24,14.648438
Girl,Turkish,7-10 years,1999,130,32,18.934911
Boy,Dutch,7-10 years,1999,138,28,14.702794
Boy,Dutch,7-10 years,1999,138,27,14.177694
Girl,Surinamese South Asian,7-10 years,1999,125,24.5,15.68
Girl,Maroccan,7-10 years,1999,126,22,13.857395
Boy,Dutch,7-10 years,1999,126,26,16.376921
Boy,Dutch,7-10 years,1999,128,33,20.141602
Girl,Dutch,7-10 years,1999,124,20,13.007284
Girl,Dutch,7-10 years,1999,131,24.5,14.276557
Boy,Turkish,7-10 years,1999,130,31,18.343195
Boy,Dutch,7-10 years,1999,132,26,14.921947
Girl,Dutch,7-10 years,1999,128,25,15.258789
Boy,Dutch,7-10 years,1999,127,24,14.88003
Girl,Turkish,7-10 years,1999,123,23,15.202591
Boy,Surinamese South Asian,7-10 years,1999,126,24,15.117158
Girl,Dutch,7-10 years,1999,129,28.5,17.126375
Girl,Dutch,7-10 years,1999,134,35.5,19.77055
Girl,Dutch,7-10 years,1999,133,28,15.829046
Girl,Surinamese South Asian,7-10 years,1999,137,32,17.04939
Boy,Dutch,7-10 years,1999,129,24,14.42221
Boy,Surinamese South Asian,7-10 years,1999,125,28,17.92
Girl,Dutch,7-10 years,1999,120,25,17.361111
Girl,Surinamese South Asian,7-10 years,1999,121,21.5,14.684789
Girl,Dutch,7-10 years,1999,126,24,15.117158
