gender,ethnicity,age_category,year_assessment,height,weight,bmi
Boy,Surinamese South Asian,13-16 years,1999,169,55,19.257029
Girl,Turkish,13-16 years,1999,157,50,20.284799
Girl,Turkish,13-16 years,1999,159,54,21.359915
Girl,Turkish,13-16 years,1999,162,49,18.670934
Boy,Dutch,13-16 years,1999,171,60,20.519134
Girl,Dutch,13-16 years,1999,164,53,19.705532
Girl,Dutch,13-16 years,1999,164,49,18.218322
Girl,Dutch,13-16 years,1999,174,59,19.487383
Girl,Dutch,13-16 years,1999,176,66,21.306818
Girl,Surinamese South Asian,13-16 years,1999,164,61,22.679952
Boy,Dutch,13-16 years,1999,162,51.5,19.623533
Boy,Turkish,13-16 years,1999,162,52,19.814053
Girl,Dutch,13-16 years,1999,172,54,18.25311
Girl,Dutch,13-16 years,1999,170,51,17.647059
Boy,Surinamese South Asian,13-16 years,1999,161,72,27.776706
Girl,Dutch,13-16 years,1999,170,51,17.647059
Boy,Dutch,13-16 years,1999,159,42.5,16.811044
Boy,Dutch,13-16 years,1999,165,54,19.834711
Boy,Surinamese South Asian,13-16 years,1999,159,38,15.031051
Boy,Dutch,13-16 years,1999,177,63.5,20.268761
Boy,Surinamese South Asian,13-16 years,1999,171,46,15.731336
Boy,Maroccan,13-16 years,1999,169,51,17.856518
Boy,Maroccan,13-16 years,1999,169,50,17.50639
Girl,Maroccan,13-16 years,1999,161,62,23.91883
Boy,Dutch,13-16 years,1999,181,63,19.230182
Boy,Dutch,13-16 years,1999,184,59,17.426749
Boy,Dutch,13-16 years,1999,178,58,18.305769
Girl,Dutch,13-16 years,1999,160,55,21.484375
Girl,Turkish,13-16 years,1999,168,55,19.486961
Boy,Dutch,13-16 years,1999,147,37,17.122495
Boy,Dutch,13-16 years,1999,170,51,17.647059
Boy,Dutch,13-16 years,1999,158,41,16.42365
Girl,Maroccan,13-16 years,1999,158,60,24.03461
Girl,Dutch,13-16 years,1999,175,65.5,21.387755
Boy,Dutch,13-16 years,1999,173,65,21.718066
Girl,Maroccan,13-16 years,1999,153,40,17.087445
Girl,Dutch,13-16 years,1999,170,63,21.799308
Girl,Dutch,13-16 years,1999,171,52,17.78325
Girl,Dutch,13-16 years,1999,153,48,20.504934
Boy,Dutch,13-16 years,1999,184,64,18.903592
Boy,Dutch,13-16 years,1999,166,65,23.588329
Boy,Dutch,13-16 years,1999,172,66,22.309356
Girl,Maroccan,13-16 years,1999,161,63,24.304618
Boy,Surinamese South Asian,13-16 years,1999,161,44,16.974654
Girl,Dutch,13-16 years,1999,164,55,20.449137
Girl,Dutch,13-16 years,1999,157,52,21.096191
Boy,Turkish,13-16 years,1999,180,67,20.679012
Boy,Dutch,13-16 years,1999,168,52.5,18.60119
Girl,Maroccan,13-16 years,1999,159,59,23.337684
Girl,Dutch,13-16 years,1999,175,61,19.918367
Girl,Dutch,13-16 years,1999,173,62,20.715694
Boy,Dutch,13-16 years,1999,175,64.5,21.061224
Girl,Surinamese South Asian,13-16 years,1999,152,45,19.477147
Boy,Dutch,13-16 years,1999,172,60,20.281233
Boy,Dutch,13-16 years,1999,152,58,25.103878
Girl,Maroccan,13-16 years,1999,158,56,22.432303
Girl,Surinamese South Asian,13-16 years,1999,160,51,19.921875
Boy,Surinamese South Asian,13-16 years,1999,178,63,19.883853
Girl,Dutch,13-16 years,1999,161,45,17.360441
Girl,Dutch,13-16 years,1999,175,65.5,21.387755
Boy,Dutch,13-16 years,1999,161,48,18.517804
Girl,Dutch,13-16 years,1999,169,87,30.461118
Girl,Surinamese South Asian,13-16 years,1999,159,54,21.359915
Girl,Dutch,13-16 years,1999,165,66,24.242424
Girl,Dutch,13-16 years,1999,167,72,25.81663
Boy,Maroccan,13-16 years,1999,177,60,19.151585
Girl,Surinamese South Asian,13-16 years,1999,159,75,29.666548
Girl,Dutch,13-16 years,1999,167,67,24.023809
Boy,Maroccan,13-16 years,1999,156,43,17.669297
Girl,Dutch,13-16 years,1999,165,60,22.038567
Girl,Dutch,13-16 years,1999,174,65,21.46915
Girl,Turkish,13-16 years,1999,163,60,22.582709
Girl,Dutch,13-16 years,1999,172,55,18.59113
Boy,Turkish,13-16 years,1999,160,53,20.703125
Boy,Dutch,13-16 years,1999,169,50,17.50639
Girl,Dutch,13-16 years,1999,166,51,18.507766
Boy,Maroccan,13-16 years,1999,170,65,22.491349
Boy,Turkish,13-16 years,1999,169,74,25.909457
Girl,Dutch,13-16 years,1999,165,55,20.20202
Girl,Dutch,13-16 years,1999,169,56,19.607157
Girl,Dutch,13-16 years,1999,161,49,18.903592
